DATE,INDPRO
2004-01-01,92.4067
2004-02-01,92.9687
2004-03-01,92.6000
2004-04-01,92.9761
2004-05-01,93.6446
2004-06-01,92.9303
2004-07-01,93.6109
2004-08-01,93.6958
2004-09-01,93.7958
2004-10-01,94.6226
2004-11-01,94.8491
2004-12-01,95.5841
2005-01-01,95.9285
2005-02-01,96.6287
2005-03-01,96.4907
2005-04-01,96.6809
2005-05-01,96.7925
2005-06-01,97.1900
2005-07-01,96.8981
2005-08-01,97.2223
2005-09-01,95.3463
2005-10-01,96.4981
2005-11-01,97.5646
2005-12-01,98.0222
2006-01-01,98.2044
2006-02-01,98.2404
2006-03-01,98.4742
2006-04-01,98.7765
2006-05-01,98.7884
2006-06-01,99.1069
2006-07-01,99.0357
2006-08-01,99.4583
2006-09-01,99.2544
2006-10-01,99.1514
2006-11-01,99.0974
2006-12-01,100.1117
2007-01-01,99.7226
2007-02-01,100.6919
2007-03-01,100.8857
2007-04-01,101.5777
2007-05-01,101.6481
2007-06-01,101.6741
2007-07-01,101.5627
2007-08-01,101.7751
2007-09-01,102.0279
2007-10-01,101.7289
2007-11-01,102.3185
2007-12-01,102.3074
2008-01-01,102.1686
2008-02-01,101.7673
2008-03-01,101.3986
2008-04-01,100.7238
2008-05-01,100.1399
2008-06-01,99.9141
2008-07-01,99.4943
2008-08-01,97.9367
2008-09-01,93.6585
2008-10-01,94.5845
2008-11-01,93.3455
2008-12-01,90.7183
2009-01-01,88.4683
2009-02-01,87.9360
2009-03-01,86.5503
2009-04-01,85.8598
2009-05-01,84.9991
2009-06-01,84.7277
2009-07-01,85.7091
2009-08-01,86.6333
2009-09-01,87.3615
2009-10-01,87.5488
2009-11-01,87.9144
2009-12-01,88.2318
2010-01-01,89.1936
2010-02-01,89.5089
2010-03-01,90.1449
2010-04-01,90.4740
2010-05-01,91.7131
2010-06-01,91.9287
2010-07-01,92.2737
2010-08-01,92.6150
2010-09-01,92.8668
2010-10-01,92.6138
2010-11-01,92.6772
2010-12-01,93.5741
2011-01-01,93.3793
2011-02-01,93.0051
2011-03-01,93.9780
2011-04-01,93.6525
2011-05-01,93.7878
2011-06-01,94.0378
2011-07-01,94.5146
2011-08-01,95.1263
2011-09-01,95.0732
2011-10-01,95.7291
2011-11-01,95.7455
2011-12-01,96.2147
2012-01-01,96.8051
2012-02-01,97.1033
2012-03-01,96.5973
2012-04-01,97.3006
2012-05-01,97.5046
2012-06-01,97.4903
2012-07-01,97.7234
2012-08-01,97.3130
2012-09-01,97.2405
2012-10-01,97.5610
2012-11-01,97.9589
2012-12-01,98.2061
2013-01-01,98.1990
2013-02-01,98.6835
2013-03-01,99.0994
2013-04-01,98.9898
2013-05-01,99.0782
2013-06-01,99.2141
2013-07-01,98.9132
2013-08-01,99.4891
2013-09-01,100.0172
2013-10-01,99.9038
2013-11-01,100.1479
2013-12-01,100.3576
2014-01-01,99.9828
2014-02-01,100.7485
2014-03-01,101.7391
2014-04-01,101.8023
2014-05-01,102.2116
2014-06-01,102.5637
2014-07-01,102.8425
2014-08-01,102.6499
2014-09-01,102.9647
2014-10-01,102.9704
2014-11-01,103.6017
2014-12-01,103.5920
2015-01-01,102.7980
2015-02-01,102.1554
2015-03-01,101.8077
2015-04-01,101.2285
2015-05-01,100.7536
2015-06-01,100.4529
2015-07-01,101.1100
2015-08-01,100.8802
2015-09-01,100.6080
2015-10-01,100.1510
2015-11-01,99.3817
2015-12-01,98.8572
2016-01-01,99.4086
2016-02-01,98.8946
2016-03-01,98.1385
2016-04-01,98.4364
2016-05-01,98.2096
2016-06-01,98.6766
2016-07-01,98.8371
2016-08-01,98.7302
2016-09-01,98.6287
2016-10-01,98.7126
2016-11-01,98.3004
2016-12-01,98.9063
2017-01-01,98.7349
2017-02-01,98.4178
2017-03-01,99.0726
2017-04-01,100.0545
2017-05-01,100.1390
2017-06-01,100.3148
2017-07-01,100.1418
2017-08-01,99.6878
2017-09-01,99.7829
2017-10-01,101.0401
2017-11-01,101.2260
2017-12-01,101.3878
2018-01-01,101.3450
2018-02-01,101.7068
2018-03-01,102.2785
2018-04-01,103.4340
2018-05-01,102.4735
2018-06-01,103.2508
2018-07-01,103.4588
2018-08-01,104.1802
2018-09-01,104.1665
2018-10-01,104.0476
2018-11-01,103.9603
2018-12-01,103.8690
2019-01-01,103.2684
2019-02-01,102.8157
2019-03-01,102.9000
2019-04-01,102.3826
2019-05-01,102.5756
2019-06-01,102.5928
2019-07-01,102.2012
2019-08-01,102.9086
2019-09-01,102.5790
2019-10-01,101.7775
2019-11-01,102.0979
2019-12-01,101.7632
2020-01-01,101.3030
2020-02-01,101.7038
2020-03-01,97.8746
2020-04-01,84.9590
2020-05-01,86.3345
2020-06-01,91.7523
2020-07-01,95.2439
2020-08-01,96.1173
2020-09-01,96.0711
2020-10-01,96.8250
2020-11-01,97.1183
2020-12-01,98.1380
2021-01-01,99.2645
2021-02-01,96.2231
2021-03-01,98.8621
2021-04-01,99.0246
2021-05-01,99.7785
2021-06-01,100.1923
2021-07-01,100.8724
2021-08-01,100.8370
2021-09-01,99.8498
2021-10-01,101.3602
2021-11-01,101.9610
2021-12-01,101.7587
2022-01-01,102.1460
2022-02-01,102.8987
2022-03-01,103.5717
2022-04-01,104.2709
2022-05-01,104.1646
2022-06-01,103.9464
2022-07-01,104.4852
2022-08-01,104.4135
2022-09-01,104.8129
2022-10-01,104.7474
2022-11-01,104.5175
